id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors
7475348,01/01/2010 00:36,1376,2182,$54.27,Swipe Transaction,88945,Cedar Park,TX,78613,5813,
7475349,01/01/2010 00:37,1682,238,$20.74,Swipe Transaction,21586,Grand Forks,ND,58201,5411,
7475350,01/01/2010 00:38,114,3398,$64.00,Swipe Transaction,61195,North Hollywood,CA,91606,5541,
7475351,01/01/2010 00:38,121,5952,$57.54,Swipe Transaction,11901,Menasha,WI,54952,5300,
7475353,01/01/2010 00:43,301,3742,$10.17,Online Transaction,39021,ONLINE,,,4784,
7475354,01/01/2010 00:43,1755,4228,$12.01,Swipe Transaction,28666,Cordele,GA,31015,5921,
7475356,01/01/2010 00:45,566,3439,$16.86,Online Transaction,16798,ONLINE,,,4121,
7475357,01/01/2010 00:46,379,3881,$4.64,Swipe Transaction,50783,Mobile,AL,36695,5411,
7475358,01/01/2010 00:48,401,3004,$669.88,Swipe Transaction,68977,West Covina,CA,91791,3174,
7475359,01/01/2010 00:48,1127,3869,$22.57,Online Transaction,39021,ONLINE,,,4784,
7475360,01/01/2010 00:49,652,4293,$2.40,Swipe Transaction,74624,East Hartford,CT,6108,5411,
7475361,01/01/2010 00:53,1963,3317,$40.35,Swipe Transaction,69972,Vacaville,CA,95687,5814,
7475362,01/01/2010 00:56,1357,4488,$14.57,Swipe Transaction,78632,Tacoma,WA,98404,5921,
7475363,01/01/2010 00:57,285,3442,$7.80,Swipe Transaction,81536,Watsonville,CA,95076,5310,
7475364,01/01/2010 00:57,1201,16,$2.95,Swipe Transaction,61195,Woburn,MA,1801,5541,
7475365,01/01/2010 01:01,820,127,$270.22,Online Transaction,73186,ONLINE,,,4814,
7475366,01/01/2010 01:03,1703,2969,$78.00,Swipe Transaction,43293,Grand Junction,CO,81506,5499,
7475367,01/01/2010 01:06,1758,4686,$87.09,Online Transaction,17976,ONLINE,,,4900,
7475368,01/01/2010 01:07,414,2815,$148.39,Swipe Transaction,5258,Morristown,NJ,7960,4900,
7475370,01/01/2010 01:07,1963,3364,$48.12,Swipe Transaction,88646,Vacaville,CA,95688,5812,
7475371,01/01/2010 01:08,561,3764,$7.75,Swipe Transaction,86977,Burlington,IA,52601,5813,
7475372,01/01/2010 01:11,566,5577,$14.66,Online Transaction,16798,ONLINE,,,4121,
7475373,01/01/2010 01:11,1642,4281,$3.96,Swipe Transaction,44625,Manasquan,NJ,8736,5812,
7475374,01/01/2010 01:13,1684,94,$12.67,Online Transaction,39021,ONLINE,,,4784,
7475376,01/01/2010 01:19,989,2511,$580.98,Swipe Transaction,73661,Thackerville,OK,73459,7995,
7475377,01/01/2010 01:19,1519,2452,$10.34,Swipe Transaction,12399,Laurel,MT,59044,5813,
7475378,01/01/2010 01:19,1575,2112,$17.14,Swipe Transaction,29232,Osprey,FL,34229,4121,
7475379,01/01/2010 01:22,986,4755,$1.85,Swipe Transaction,14528,Garden City,NY,11530,5499,
7475380,01/01/2010 01:23,1703,2969,$71.72,Swipe Transaction,43293,Grand Junction,CO,81506,5499,
7475381,01/01/2010 01:25,430,5768,$200.00,Swipe Transaction,27092,Crown Point,IN,46307,4829,
7475382,01/01/2010 01:25,1703,2969,-$78.00,Swipe Transaction,43293,Grand Junction,CO,81506,5499,
7475383,01/01/2010 01:30,1357,65,$23.08,Swipe Transaction,80797,Tacoma,WA,98404,5813,
7475385,01/01/2010 01:37,1484,2527,$40.00,Swipe Transaction,27092,Pinetop,AZ,85935,4829,
7475388,01/01/2010 01:40,1077,2539,$2.43,Swipe Transaction,46284,Ukiah,CA,95482,5411,
7475389,01/01/2010 01:40,1787,2228,$3.77,Swipe Transaction,20519,Lexington,KY,40515,5942,
7475390,01/01/2010 01:41,247,4155,$3.29,Swipe Transaction,92883,Lake Charles,LA,70605,5812,
7475391,01/01/2010 01:41,1087,1029,$62.98,Online Transaction,17976,ONLINE,,,4900,
7475394,01/01/2010 01:46,1575,224,$34.34,Online Transaction,16798,ONLINE,,,4121,
7475395,01/01/2010 01:47,1731,2797,$73.46,Swipe Transaction,18293,Fontana,CA,92336,7995,
7475396,01/01/2010 01:48,125,2023,$9.16,Swipe Transaction,23462,Modesto,CA,95351,5813,
7475397,01/01/2010 01:48,989,4124,$541.29,Swipe Transaction,40475,Arlington Heights,IL,60005,7802,
7475398,01/01/2010 01:53,63,60,$30.69,Swipe Transaction,32175,Newark,NJ,7104,7538,
7475399,01/01/2010 01:54,152,2848,$177.41,Swipe Transaction,86616,Muscle Shoals,AL,35661,4814,
7475400,01/01/2010 01:54,597,4540,$14.20,Swipe Transaction,66541,San Francisco,CA,94131,5300,
7475401,01/01/2010 01:54,1449,241,$119.23,Online Transaction,87530,ONLINE,,,4900,
7475402,01/01/2010 01:55,1755,4228,$10.61,Swipe Transaction,82981,Dublin,GA,31021,5912,
7475403,01/01/2010 01:56,760,5876,$52.98,Online Transaction,39021,ONLINE,,,4784,
7475404,01/01/2010 01:56,1642,4281,$3.35,Swipe Transaction,44625,Manasquan,NJ,8736,5812,
7475406,01/01/2010 01:58,1542,2906,$39.05,Swipe Transaction,58215,Cleveland,OH,44118,5813,
7475407,01/01/2010 02:00,727,4295,$6.79,Swipe Transaction,72351,Saint Louis,MO,63112,5541,
7475410,01/01/2010 02:05,1097,4690,$100.00,Swipe Transaction,27092,Grand Rapids,MI,49548,4829,
7475411,01/01/2010 02:05,1453,1117,$196.22,Swipe Transaction,5009,Middletown,NY,10940,7011,
7475412,01/01/2010 02:06,1024,1006,$3.83,Swipe Transaction,2177,Colwich,KS,67030,5411,
7475413,01/01/2010 02:07,858,13,$1.87,Swipe Transaction,81833,Gonzales,TX,78629,5912,
7475414,01/01/2010 02:08,1084,3454,$6.63,Swipe Transaction,45926,Tacoma,WA,98403,5814,
7475415,01/01/2010 02:08,1622,2877,$8.30,Swipe Transaction,43293,Canton,MA,2021,5499,
7475416,01/01/2010 02:09,1787,2228,$2.75,Swipe Transaction,75781,Lexington,KY,40509,5411,
7475417,01/01/2010 02:11,34,1166,$4.07,Swipe Transaction,49789,Sacramento,CA,95829,5541,
7475419,01/01/2010 02:12,1424,4710,$2.31,Swipe Transaction,95811,Seligman,AZ,86337,5411,
7475420,01/01/2010 02:13,121,5952,$0.21,Swipe Transaction,61195,Menasha,WI,54952,5541,
7475421,01/01/2010 02:13,989,2938,$396.03,Swipe Transaction,73661,Thackerville,OK,73459,7995,
7475422,01/01/2010 02:13,1453,1117,-$460.00,Swipe Transaction,5009,Middletown,NY,10940,7011,
7475423,01/01/2010 02:14,474,2493,$91.02,Swipe Transaction,35451,Williston Park,NY,11596,5812,
7475424,01/01/2010 02:15,1142,4674,$3.68,Swipe Transaction,59397,Cohasset,MA,2025,5812,
7475425,01/01/2010 02:16,241,58,$38.11,Online Transaction,17976,ONLINE,,,4900,
7475426,01/01/2010 02:17,461,5482,$25.97,Swipe Transaction,45389,Canton,MI,48188,5813,
7475427,01/01/2010 02:17,1776,4938,$66.05,Online Transaction,39021,ONLINE,,,4784,
7475429,01/01/2010 02:22,595,4667,$33.02,Swipe Transaction,71416,Bullock,NC,27507,4900,
7475430,01/01/2010 02:22,972,4166,$103.97,Swipe Transaction,18966,Markesan,WI,53946,4900,
7475431,01/01/2010 02:25,212,2418,$2.33,Swipe Transaction,61195,Dallas,TX,75227,5541,
7475432,01/01/2010 02:25,1214,5508,$51.58,Online Transaction,98436,ONLINE,,,5192,
7475434,01/01/2010 02:28,178,4261,$57.43,Swipe Transaction,78454,Grain Valley,MO,64029,5812,
7475435,01/01/2010 02:31,1077,4104,$2.87,Swipe Transaction,61195,Ukiah,CA,95482,5541,
7475436,01/01/2010 02:32,1155,5784,$27.63,Swipe Transaction,1903,Miami,FL,33127,5812,
7475437,01/01/2010 02:33,1443,4730,$76.76,Swipe Transaction,59288,Waianae,HI,96792,5912,
7475438,01/01/2010 02:35,387,4601,$9.10,Swipe Transaction,75936,Amherst,OH,44001,5814,
7475439,01/01/2010 02:35,1998,2160,$0.75,Swipe Transaction,99312,Burlingame,CA,94010,5411,
7475440,01/01/2010 02:39,706,4284,$160.00,Swipe Transaction,27092,Boulder Creek,CA,95006,4829,
7475441,01/01/2010 02:40,503,1088,$28.21,Swipe Transaction,20561,Chicago,IL,60629,5912,
7475442,01/01/2010 02:40,714,2958,$44.86,Swipe Transaction,1238,Fayetteville,AR,72703,7393,
7475443,01/01/2010 02:44,908,5154,$57.73,Swipe Transaction,68751,Holly Springs,NC,27540,5651,
7475444,01/01/2010 02:45,758,2181,$6.52,Swipe Transaction,75781,Alhambra,CA,91801,5411,
7475446,01/01/2010 02:48,1411,1069,$4.04,Swipe Transaction,10455,Saint Charles,IL,60174,5812,
7475447,01/01/2010 02:51,140,152,$3.93,Swipe Transaction,61195,Woodbury,TN,37190,5541,
7475449,01/01/2010 02:51,1424,4710,$5.12,Swipe Transaction,95811,Seligman,AZ,86337,5411,
7475450,01/01/2010 02:52,843,184,$19.15,Swipe Transaction,73365,Terre Haute,IN,47805,5651,
7475452,01/01/2010 02:57,895,217,$58.85,Swipe Transaction,88544,Big Bear Lake,CA,92315,5300,
7475453,01/01/2010 02:57,1313,4183,$2.77,Swipe Transaction,61746,Sutersville,PA,15083,5411,
7475454,01/01/2010 02:57,1459,3383,$2.75,Swipe Transaction,47756,Albuquerque,NM,87121,5411,
7475455,01/01/2010 02:59,474,2493,$115.37,Swipe Transaction,98648,Williston Park,NY,11596,5814,
7475456,01/01/2010 03:02,1802,5836,$77.70,Swipe Transaction,60569,Somerset,NJ,8873,5300,
7475457,01/01/2010 03:03,702,4199,$120.87,Swipe Transaction,61195,Huntington Station,NY,11746,5541,
7475458,01/01/2010 03:06,461,5482,$23.86,Swipe Transaction,45389,Canton,MI,48188,5813,
7475459,01/01/2010 03:08,169,3256,$11.18,Swipe Transaction,2205,Sumter,SC,29153,5813,
7475460,01/01/2010 03:08,957,4532,-$147.00,Swipe Transaction,44795,Marysville,OH,43040,3780,
7475461,01/01/2010 03:09,140,152,$3.92,Swipe Transaction,75936,Whites Creek,TN,37189,5814,
7475462,01/01/2010 03:09,843,184,$27.29,Swipe Transaction,73365,Terre Haute,IN,47805,5651,
7475463,01/01/2010 03:11,1921,1181,$40.89,Online Transaction,59350,ONLINE,,,7922,
7475464,01/01/2010 03:13,957,4532,$14.21,Swipe Transaction,44795,Marysville,OH,43040,3780,
7475465,01/01/2010 03:16,1920,3415,$24.47,Swipe Transaction,35001,Oak Park,MN,56357,5813,
7475466,01/01/2010 03:17,319,248,$29.60,Swipe Transaction,54850,Fresno,CA,93727,4814,
7475467,01/01/2010 03:17,613,1191,$22.77,Swipe Transaction,44919,Lombard,IL,60148,5814,
7475468,01/01/2010 03:20,121,5952,$58.47,Online Transaction,80770,ONLINE,,,7922,
7475469,01/01/2010 03:23,1787,2228,$37.09,Swipe Transaction,96712,Lexington,KY,40509,5813,
7475470,01/01/2010 03:26,609,2892,$11.44,Swipe Transaction,46284,Garland,TX,75040,5411,
7475471,01/01/2010 03:27,1209,3387,$4.78,Swipe Transaction,50783,New Rochelle,NY,10801,5411,
7475473,01/01/2010 03:29,895,1116,$35.23,Swipe Transaction,45188,Big Bear Lake,CA,92315,5651,
7475474,01/01/2010 03:32,819,3245,$102.27,Swipe Transaction,51664,Pittsburgh,PA,15224,4900,
7475475,01/01/2010 03:32,1237,2092,$3.58,Swipe Transaction,75936,Waukegan,IL,60085,5814,
7475476,01/01/2010 03:32,1538,3206,$14.36,Swipe Transaction,98374,Nazareth,PA,18064,5411,
7475477,01/01/2010 03:36,1686,2617,$176.44,Swipe Transaction,1827,Lafayette,CO,80026,5912,
7475478,01/01/2010 03:49,442,112,$120.00,Swipe Transaction,27092,Belleville,IL,62221,4829,
7475479,01/01/2010 03:51,1209,3387,$4.39,Swipe Transaction,50783,New Rochelle,NY,10801,5411,
7475480,01/01/2010 03:52,618,3411,$6.72,Swipe Transaction,75781,Manhattan Beach,CA,90266,5411,
7475481,01/01/2010 03:52,1941,2940,$13.79,Swipe Transaction,56241,Campbell,TX,75422,5310,
7475482,01/01/2010 03:53,241,3921,$63.50,Swipe Transaction,70766,Rockingham,NC,28379,5651,
7475483,01/01/2010 03:56,377,4602,$59.44,Swipe Transaction,55604,Withee,WI,54498,7538,
7475485,01/01/2010 03:57,185,5361,$15.89,Online Transaction,39261,ONLINE,,,5815,
7475486,01/01/2010 04:01,421,2177,$96.63,Swipe Transaction,20561,Ottumwa,IA,52501,5912,
7475487,01/01/2010 04:05,1382,2838,$93.13,Swipe Transaction,22014,Dallas,TX,75253,4900,
7475488,01/01/2010 04:06,1080,2562,$31.50,Swipe Transaction,85304,Eastman,GA,31023,5310,
7475489,01/01/2010 04:13,1413,4673,$1.62,Swipe Transaction,20519,Jasper,IN,47546,5942,
7475490,01/01/2010 04:14,585,5881,$20.86,Online Transaction,41122,ONLINE,,,4784,
7475491,01/01/2010 04:17,356,3251,$7.71,Online Transaction,50404,ONLINE,,,4784,
7475492,01/01/2010 04:17,1920,2791,$33.19,Swipe Transaction,35001,Oak Park,MN,56357,5813,
7475493,01/01/2010 04:18,816,5066,$108.13,Swipe Transaction,98374,Church Hill,TN,37642,5411,
7475494,01/01/2010 04:21,103,5113,$166.34,Online Transaction,56276,ONLINE,,,4899,
7475495,01/01/2010 04:21,1635,115,$14.50,Swipe Transaction,45501,Jamaica,NY,11434,5912,
7475496,01/01/2010 04:22,1313,4183,$3.36,Swipe Transaction,98374,Slovan,PA,15078,5411,
7475497,01/01/2010 04:25,20,3857,$2.56,Swipe Transaction,59397,Weatherford,TX,76086,5812,
7475498,01/01/2010 04:27,1736,113,$55.79,Swipe Transaction,24823,Brooklyn,NY,11211,7538,
7475499,01/01/2010 04:28,1812,2531,$174.06,Swipe Transaction,68671,North Little Rock,AR,72116,5541,
7475500,01/01/2010 04:30,1905,5807,$54.98,Online Transaction,73186,ONLINE,,,4814,
7475501,01/01/2010 04:31,526,5917,$22.23,Online Transaction,16798,ONLINE,,,4121,
7475502,01/01/2010 04:31,1378,2921,$60.00,Swipe Transaction,27092,Suring,WI,54174,4829,
7475505,01/01/2010 04:38,100,5903,$60.09,Swipe Transaction,20916,Hillsborough,NC,27278,5651,
7475506,01/01/2010 04:38,839,4725,$74.76,Swipe Transaction,32175,Danbury,CT,6810,7538,
7475507,01/01/2010 04:39,1629,4290,$29.93,Swipe Transaction,95377,Fort Lauderdale,FL,33313,5912,
7475508,01/01/2010 04:44,1807,2823,$119.42,Swipe Transaction,84708,Bronx,NY,10463,4900,
7475509,01/01/2010 04:45,1718,4706,$46.21,Online Transaction,15143,ONLINE,,,4784,
7475510,01/01/2010 04:49,1629,4290,$26.38,Online Transaction,39021,ONLINE,,,4784,
7475511,01/01/2010 04:49,1880,2014,$67.09,Swipe Transaction,40475,Arlington Heights,IL,60005,7802,
7475512,01/01/2010 04:51,1563,5125,$1.14,Swipe Transaction,14528,Los Angeles,CA,90004,5499,
7475513,01/01/2010 04:52,1728,153,$69.85,Swipe Transaction,49286,Waupaca,WI,54981,5300,
7475514,01/01/2010 04:54,33,2404,$8.73,Swipe Transaction,50783,Spring Creek,NV,89815,5411,
7475515,01/01/2010 04:54,464,3233,$104.40,Swipe Transaction,32175,Orlando,FL,32804,7538,
7475516,01/01/2010 04:56,464,3233,$104.10,Swipe Transaction,32175,Orlando,FL,32804,7538,Technical Glitch
7475517,01/01/2010 04:58,984,2796,$79.70,Swipe Transaction,60569,Kissimmee,FL,34758,5300,
7475518,01/01/2010 04:58,1148,5804,$2.68,Swipe Transaction,59935,Philadelphia,PA,19146,5499,
7475519,01/01/2010 05:04,1540,5562,$46.05,Online Transaction,39021,ONLINE,,,4784,
7475520,01/01/2010 05:05,1102,2822,$185.60,Online Transaction,80770,ONLINE,,,7922,
7475521,01/01/2010 05:09,1378,4227,$60.00,Swipe Transaction,27092,Suring,WI,54174,4829,
7475522,01/01/2010 05:10,630,2059,$60.00,Swipe Transaction,27092,Jacksonville,FL,32221,4829,
7475523,01/01/2010 05:10,1455,2960,$11.78,Swipe Transaction,76199,San Diego,CA,92102,5813,
7475524,01/01/2010 05:12,1445,3722,$4.43,Online Transaction,39021,ONLINE,,,4784,
7475525,01/01/2010 05:12,1964,2508,$18.24,Swipe Transaction,715,Clayton,NC,27520,7230,
7475526,01/01/2010 05:15,847,4531,$140.00,Swipe Transaction,27092,Billings,OK,74630,4829,
7475527,01/01/2010 05:15,1098,4626,$6.76,Swipe Transaction,50867,Hawarden,IA,51023,5541,
7475528,01/01/2010 05:16,1541,228,$4.22,Swipe Transaction,61806,Clinton,TN,37716,5912,
7475529,01/01/2010 05:19,595,4666,$67.25,Swipe Transaction,94050,Bunn,NC,27508,5655,
7475531,01/01/2010 05:20,1356,4752,$48.76,Swipe Transaction,76639,Fond Du Lac,WI,54935,5732,
7475532,01/01/2010 05:24,641,14,$8.84,Swipe Transaction,41943,Columbus,OH,43228,5813,
7475533,01/01/2010 05:26,961,4584,$36.53,Swipe Transaction,42465,Wilkes Barre,PA,18703,5813,
7475534,01/01/2010 05:30,1034,4622,$41.30,Online Transaction,17976,ONLINE,,,4900,
7475535,01/01/2010 05:33,503,1088,$16.71,Swipe Transaction,32175,Chicago,IL,60630,7538,
7475537,01/01/2010 05:36,1759,4232,$3.03,Swipe Transaction,23481,Oceanside,CA,92057,5812,
7475538,01/01/2010 05:38,470,5097,$6.83,Swipe Transaction,22938,Wister,OK,74966,5812,
7475539,01/01/2010 05:38,1696,2408,$4.02,Swipe Transaction,35451,Merritt Island,FL,32952,5812,
7475540,01/01/2010 05:38,1769,43,$0.18,Swipe Transaction,86438,Manahawkin,NJ,8050,5499,
7475541,01/01/2010 05:40,303,4194,$80.00,Swipe Transaction,27092,Brighton,CO,80602,4829,
7475542,01/01/2010 05:40,550,163,$1.98,Swipe Transaction,50783,Mecosta,MI,49332,5411,
7475543,01/01/2010 05:41,1676,134,$66.98,Swipe Transaction,21189,Elk Grove Village,IL,60007,5812,
7475544,01/01/2010 05:43,185,5361,$2.91,Swipe Transaction,25705,Elizabeth,NJ,7201,5411,
7475545,01/01/2010 05:43,810,4309,$16.16,Swipe Transaction,2124,Springfield,KY,40069,5812,
7475546,01/01/2010 05:43,1540,3763,$46.01,Online Transaction,39021,ONLINE,,,4784,
7475547,01/01/2010 05:46,1513,2965,$1.00,Swipe Transaction,86438,Dryden,NY,13053,5499,
7475548,01/01/2010 05:46,1776,4938,$11.91,Swipe Transaction,73840,Nashport,OH,43830,5912,
7475551,01/01/2010 05:48,52,4976,$115.82,Swipe Transaction,26810,Plattekill,NY,12568,5541,
7475552,01/01/2010 05:48,246,1158,$34.46,Swipe Transaction,53187,Minneapolis,MN,55419,5813,
7475555,01/01/2010 05:49,737,148,$1.40,Swipe Transaction,88374,Medford,OR,97504,5411,
7475556,01/01/2010 05:51,1487,5978,$91.13,Swipe Transaction,20884,Renfrew,PA,16053,5812,
7475557,01/01/2010 05:51,1516,1002,$16.67,Swipe Transaction,69956,Milpitas,CA,95035,5310,
7475559,01/01/2010 05:52,822,5385,$10.45,Online Transaction,50292,ONLINE,,,7801,
7475561,01/01/2010 05:53,1516,1002,$1.88,Swipe Transaction,19252,Milpitas,CA,95035,5411,
7475562,01/01/2010 05:55,11,243,$262.47,Swipe Transaction,16041,South Ozone Park,NY,11420,7802,
7475563,01/01/2010 05:55,190,4621,$3.40,Swipe Transaction,23098,Skokie,IL,60077,5812,
7475564,01/01/2010 05:56,530,3344,$2.98,Swipe Transaction,88646,Colton,CA,92324,5812,
7475565,01/01/2010 05:56,1840,3322,$10.79,Swipe Transaction,27156,Beaverton,OR,97005,5812,
7475566,01/01/2010 05:57,28,2568,$300.48,Swipe Transaction,23008,Woodbridge,VA,22191,5932,
7475567,01/01/2010 05:57,327,5512,$61.86,Online Transaction,39021,ONLINE,,,4784,
7475568,01/01/2010 05:57,1826,5779,$3.29,Swipe Transaction,43293,Lady Lake,FL,32159,5499,
7475569,01/01/2010 05:59,1381,3738,$9.84,Swipe Transaction,11264,Mentor,OH,44060,5812,
7475570,01/01/2010 06:00,1080,2562,$43.13,Swipe Transaction,11468,Macon,GA,31204,5970,
7475571,01/01/2010 06:00,1209,4573,$3.41,Swipe Transaction,89738,Yonkers,NY,10710,5411,
7475572,01/01/2010 06:01,592,4133,$12.81,Online Transaction,39021,ONLINE,,,4784,
7475573,01/01/2010 06:01,628,2579,$95.00,Swipe Transaction,59935,Narberth,PA,19072,5499,
7475574,01/01/2010 06:01,760,5876,$2.12,Swipe Transaction,75781,Columbus,OH,43228,5411,
7475575,01/01/2010 06:01,848,3915,$60.37,Swipe Transaction,83743,Harwood,MD,20776,7538,
7475576,01/01/2010 06:01,1248,5787,$41.95,Swipe Transaction,40475,Arlington Heights,IL,60005,7802,
7475577,01/01/2010 06:01,1382,1110,$36.92,Swipe Transaction,63909,Dallas,TX,75253,5912,
7475578,01/01/2010 06:02,38,2526,$14.67,Online Transaction,50404,ONLINE,,,4784,
7475579,01/01/2010 06:02,847,4531,$100.00,Swipe Transaction,27092,Billings,OK,74630,4829,
7475580,01/01/2010 06:02,1529,4985,$3.98,Swipe Transaction,23492,Pompano Beach,FL,33076,5411,
7475582,01/01/2010 06:03,511,974,$3.33,Swipe Transaction,20519,Phoenix,AZ,85015,5942,
7475584,01/01/2010 06:03,763,4993,$33.64,Swipe Transaction,3316,Wynnewood,PA,19096,5912,
7475585,01/01/2010 06:03,1242,5102,$78.05,Swipe Transaction,32175,Chicago,IL,60621,7538,
7475586,01/01/2010 06:03,1696,2408,$9.68,Online Transaction,39021,ONLINE,,,4784,
7475588,01/01/2010 06:04,1675,4692,$64.39,Swipe Transaction,43293,Puyallup,WA,98373,5499,
7475589,01/01/2010 06:05,1786,1000,$8.73,Swipe Transaction,50867,Louisville,OH,44641,5541,
7475590,01/01/2010 06:06,211,3739,$2.13,Swipe Transaction,22484,Lake Havasu City,AZ,86404,5411,
7475591,01/01/2010 06:06,997,5046,$35.90,Swipe Transaction,83070,Chula Vista,CA,91913,4121,
7475592,01/01/2010 06:07,112,1134,$23.61,Online Transaction,39021,ONLINE,,,4784,
7475594,01/01/2010 06:07,425,5149,$2.72,Swipe Transaction,88374,Carmel,CA,93923,5411,
7475595,01/01/2010 06:07,759,3716,$66.00,Swipe Transaction,59935,Franklin,TN,37067,5499,
7475596,01/01/2010 06:07,996,1107,$1.54,Swipe Transaction,12547,Hollywood,FL,33024,5411,
7475598,01/01/2010 06:07,1741,1097,$10.02,Swipe Transaction,50856,Tucson,AZ,85711,5813,
7475599,01/01/2010 06:08,890,5799,$4.04,Swipe Transaction,35433,Fullerton,CA,92831,5812,
7475600,01/01/2010 06:08,1381,3738,$5.41,Swipe Transaction,11264,Mentor,OH,44060,5812,
7475601,01/01/2010 06:08,1692,5371,$42.28,Online Transaction,39021,ONLINE,,,4784,
7475602,01/01/2010 06:09,152,2848,$113.09,Swipe Transaction,71667,Russellville,AL,35653,7538,
7475603,01/01/2010 06:09,980,5052,$1.33,Swipe Transaction,59935,Gwynn Oak,MD,21207,5499,
7475604,01/01/2010 06:09,1150,4672,$7.09,Swipe Transaction,19464,Hurst,TX,76054,5812,
7475605,01/01/2010 06:09,1445,2899,$2.38,Swipe Transaction,53402,Claypool,IN,46510,5411,
7475606,01/01/2010 06:10,89,2998,$6.89,Swipe Transaction,44678,Mesilla Park,NM,88047,5812,
7475607,01/01/2010 06:10,135,2808,$189.29,Online Transaction,90999,ONLINE,,,4722,
7475608,01/01/2010 06:10,357,5481,$140.00,Swipe Transaction,27092,Boston,MA,2128,4829,
7475609,01/01/2010 06:10,657,4662,$144.68,Swipe Transaction,93195,Pahrump,NV,89048,4900,
7475610,01/01/2010 06:10,1428,5116,$1.33,Swipe Transaction,14528,Lebanon,MO,65536,5499,
7475611,01/01/2010 06:10,1797,1127,$28.84,Online Transaction,15143,ONLINE,,,4784,Bad Expiration
7475612,01/01/2010 06:11,1640,4967,-$84.00,Swipe Transaction,61195,Adrian,MI,49221,5541,
7475614,01/01/2010 06:13,89,2998,$121.66,Swipe Transaction,5495,Mesilla Park,NM,88047,5932,
7475615,01/01/2010 06:13,425,5149,$1.69,Swipe Transaction,14528,Marina,CA,93933,5499,
7475616,01/01/2010 06:13,679,5972,$2.99,Swipe Transaction,75703,Jackson Center,PA,16133,5812,
7475617,01/01/2010 06:13,1054,3860,$74.60,Swipe Transaction,60569,Banks,OR,97106,5300,
7475619,01/01/2010 06:14,634,3375,$10.70,Swipe Transaction,569,Independence,OH,44131,5300,
7475620,01/01/2010 06:14,827,2836,$6.66,Swipe Transaction,75781,Utica,NY,13501,5411,
7475621,01/01/2010 06:14,1516,1002,$23.83,Swipe Transaction,52436,Milpitas,CA,95035,5310,
7475622,01/01/2010 06:15,497,2829,$4.87,Swipe Transaction,69972,Sioux Falls,SD,57110,5814,
7475623,01/01/2010 06:16,135,2808,-$148.00,Online Transaction,90999,ONLINE,,,4722,
7475624,01/01/2010 06:16,759,3716,-$66.00,Swipe Transaction,59935,Franklin,TN,37067,5499,
7475625,01/01/2010 06:16,1315,5434,$11.70,Swipe Transaction,75781,Mulkeytown,IL,62865,5411,
7475627,01/01/2010 06:16,1678,4680,$6.58,Swipe Transaction,17493,Wethersfield,CT,6109,5812,
7475628,01/01/2010 06:16,1703,2969,$7.35,Swipe Transaction,68671,Grand Junction,CO,81506,5541,
7475630,01/01/2010 06:16,1849,5904,$2.67,Swipe Transaction,86058,Tacoma,WA,98445,5411,
7475632,01/01/2010 06:17,1675,4692,-$86.00,Swipe Transaction,43293,Puyallup,WA,98373,5499,
